,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
1004,Soupe de poisson au coulis de homard - Le coteau des saveurs,3574315380029,['Le coteau des saveurs'],,,['France'],[],[],?,38,1,"2,3","4,7",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,-21%,-47%,+26%,-9%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.9 g,en quantité modérée,159 kj(38 kcal),-20%,"0,1",-78%,"0,8",+23%,"0,9",+2%,"0,36",+2%,1,+15%,B,+15%,,['bouteille verre'],,,,,,,,,,
1005,Cranberry Carnival - Taste of Nature,0059527551595,['Taste of Nature'],"['Végétarien', 'en:gluten-free', 'Végétalien']",,['France'],"['ARACHIDES GRILLÉES', ""SIROP D'AGAVE*"", 'CANNEBERGES SÉCHÉES ', '9 % ', ' ', ' CANNEBERGES""', 'JUS DE POMME CONCENTRE', 'HUILE DE TOURNESOL*', 'GRAINES DE TOURNESOL"" GRAINES DE CITROUILLE*', 'RAISINS SECS ', 'RAISINS SECS*', 'HUILE DE TOURNESOL""', 'SIROP DE RIZ BRUN""', 'GRAINES DE SÉSAME*', 'CEREALES CROUSTILLANTES AU RIZ BRUN COMPLET""', 'GRAINES DE LIN*', 'AMANDES*', ""MELANGE D'HUILE DE TOURNESOL* "", 'HUILE DE TOURNESOL*', 'MÉLANGE DE TOCOPHÉROLS', 'EXTRAIT DE ROMARIN*', 'AROME NATUREL', 'AGAR-AGAR']","['Végétalien', 'Végétarien']",?,400,24,45,15,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques']",,-19%,-21%,+20%,-1%,,,,,,,,,24 g,en quantité élevée,4 g,en quantité modérée,24 g,en quantité élevée,0 g,en faible quantité,1674 kj(400 kcal),-19%,4,-31%,24,-3%,0,-100%,0,-100%,12,-3%,D,-3%,,,,,4,,"['E306 - Extrait riche en tocophérols', 'E392 - Extrait de romarin', 'E406 - Agar-agar']","['Fruits à coque', 'Arachides', 'Graines de sésame']",,,,
1006,sablés céréales chocolat noir - Chabrior,0205797004341,['Chabrior'],,,['France'],[],[],?,484,"22,1","59,7",8,,,,,,,,,,,,,,,,,,,,,,,,2025 kj(484 kcal),,"7,8",,"30,1",,"0,65",,"0,26",,,,,,,,,,,,,,,,,
1007,Pieds de porc cuit - 0.942kg,0264690040146,,,,['France'],[],[],?,106,"3,6","0,11","18,3",,,,,,,,,,,,,,,"['EMB 01405C', 'Servas (Ain, France)']",,,,,,,,,444 kj(106 kcal),,"1,2",,"0,11",,"1,3",,"0,52",,,,,,0.942 kg,,,,,,,,,,,
1008,Kellogg's - 120g,7896004002132,"[""Kellogg's""]",,,"['Brésil', 'France']",[],[],?,340,2,70,11,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']",,-13%,-73%,+7%,0%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,2 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,1.49 g,en quantité modérée,1420 kj(340 kcal),-13%,0,-100%,3,-45%,"1,49",+21%,"0,594",+21%,1,-82%,B,-82%,120 g,,['Brésil'],['Brazil'],,,,,,,,
1009,Saucisse fumée lorraine,2641115020149,,,,['France'],[],[],?,368,33,"1,8",16,,,,,,,,,,,,,,,,,,,,,,,,1540 kj(368 kcal),,"11,9",,1,,"2,3",,"0,92",,,,,,,,,,,,,,,,,
1010,Crevettes cuites semi décortiquées,2869643063173,,,,['France'],[],[],?,487,"5,8","0,6","15,4",D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites', 'Crevettes décortiquées']",,+355%,+284%,+28%,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,5.8 g,en quantité modérée,0.85 g,en faible quantité,0.5 g,en faible quantité,1.76 g,en quantité élevée,2038 kj(487 kcal),+358%,"0,85",+88%,"0,5",+100%,"1,76",-3%,"0,704",-3%,13,+232%,D,+232%,,,,,,,,,,,,
1011,Pesto Basilicum - Delhaize,5400111112305,['Delhaize'],,['Delhaize'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Hamentashen,0043427101103,,,,['France'],[],[],?,440,20,64,4,,,,,,,,,,,,,,,,,,,,,,,,1841 kj(440 kcal),,8,,24,,"0,09",,"0,036",,,,,,,,,,,,,,,,,
1013,Apérifeuilles - Kambly,7614800108243,['Kambly'],"['Bio', 'Fabriqué en Suisse']",,['France'],[],[],?,411,"8,9",68,12,,,,,,,,,,,,,,,,,,,,,,,,1720 kj(411 kcal),,"0,7",,"8,8",,"2,5",,1,,,,,,,,,,,,,,,,,
1014,Pains aux raisins,2096529124035,,,,['France'],[],[],?,301,11,44,"5,7",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",,+1%,0%,-0%,-1%,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,11 g,en quantité modérée,7 g,en quantité élevée,18 g,en quantité élevée,0.59 g,en quantité modérée,1259 kj(301 kcal),+1%,7,+16%,18,+5%,"0,59",-7%,"0,236",-7%,14,+1%,D,+1%,,,,,,,,,,,,
1015,Soupe de poissons sétoise,3303640867086,,['Sans conservateurs'],,['France'],[],[],?,48,"2,5","0,4","5,6",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,0%,+32%,-78%,+8%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,2.5 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,1.17 g,en quantité modérée,201 kj(48 kcal),+1%,"0,5",+11%,"0,4",-39%,"1,17",+33%,"0,468",+33%,2,+129%,B,+129%,,,,,,,,,,,,
1016,Crevette entières cuites,2600324019290,,['Bio'],,['France'],[],[],?,427,"1,1","0,6",22,,,,,,,,,,,,,,,,,,,,,,,,1787 kj(427 kcal),,"0,4",,"0,5",,"0,5",,"0,2",,,,,,,,,,,,,,,,,
1017,Chocolat De Couverture Blanc 35% En Pistoles Caramel Zephyr - Cacao Barry,3073419309115,['Cacao Barry'],,,['France'],[],[],?,590,41,46,"9,1",,,,,,,,,,,,,,,,,,,,,,,,2469 kj(590 kcal),,25,,45,,"0,54",,"0,216",,,,,,,,,,,,,,,,,
1018,Mes fondants chocolat - Carrefour,3498844181356,['Carrefour'],,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Bleu crémeux,85675971,,,,['France'],[],[],?,365,33,1,16,,,,,,,,,,,,,,,,,,,,,,,,1527 kj(365 kcal),,23,,0,,"1,5",,"0,6",,,,,,,,,,,,,,,,,
1020,Chips Lay's heinz tomato ketchup,8710398513991,['Heinz'],,,['France'],[],[],?,528,32,52,6,,,,,,,,,,,,,,,,,,,,,,,,2209 kj(528 kcal),,"2,6",,"2,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,
1021,Melange tokyo,2600803025842,,,,['France'],[],[],?,467,"20,9","54,8","13,2",,,,,,,,,,,,,,,,,,,,,,,,1954 kj(467 kcal),,"5,7",,"11,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,
1022,Protein whey - BiotechUSA,5999076226085,['BiotechUSA'],['en:gluten-free'],,['France'],[],[],?,385,"5,5",5,78,,,,,,,,,,,,,,,,,,,,,,,,1611 kj(385 kcal),,"3,9",,"3,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,
1023,Tropezienne,0232437022960,,,,['France'],[],[],?,1005,"7,7",38,"4,2",,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,+265%,-25%,-3%,-1%,,,,,,,,,7.7 g,en quantité modérée,5.1 g,en quantité élevée,23 g,en quantité élevée,0.34 g,en quantité modérée,4205 kj(1005 kcal),+266%,"5,1",-25%,23,+14%,"0,34",-32%,"0,136",-32%,21,+39%,E,+39%,,,,,,,,,,,,
1024,Energy drink,3760205599309,,,,['France'],[],[],?,21,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,88 kj(21 kcal),,0,,4,,19,,"7,6",,,,,,,,,,,,,,,,,
1025,Bifteck - Charal,0292472040541,['Charal'],,,['France'],[],[],?,113,"2,3",0,23,,,,,,,,,,,,,,,,,,,,,,,,473 kj(113 kcal),,"0,8",,0,,"0,17",,"0,068",,,,,,,,,,,,,,,,,
1026,Protein muffin mix,4313042780295,,,,['France'],[],[],?,452,"11,1",45,42,,,,,,,,,,,,,,,,,,,,,,,,1891 kj(452 kcal),,"5,6",,23,,"0,14",,"0,056",,,,,,,,,,,,,,,,,
1027,SiS Whey Protein Pineapple & Coconut - 1000g,5025324001880,,,,"['France', 'Italie']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,
1028,Beer Baltika 4 Original 5.6% 500ML 1 / 20,4600682400479,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,8018699019489,8018699019489,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,coeur de couenne,0211922024405,,,,['France'],[],[],?,141,"6,2","0,5",20,,,,,,,,,,,,,,,,,,,,,,,,590 kj(141 kcal),,"2,2",,"0,5",,"1,92",,"0,768",,,,,,,,,,,,,,,,,
1031,Fraises Sabana - 500g,8436547420025,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
1032,Triangles aux amandes - Le Petit Duc,3760081351749,['Le Petit Duc'],"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Fajitas,0203947018378,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Truite fumee au bois de hetre,3392780447548,,,,['France'],[],[],?,671,"7,6","0,5",22,E,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,+309%,-3%,+20%,-3%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,7.6 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,2.8 g,en quantité élevée,2807 kj(671 kcal),+310%,"1,3",-20%,"0,5",+70%,"2,8",+2%,"1,12",+2%,19,+61%,E,+61%,,,,,,,,,,,,
1035,Arachide Decortiquee Grillee Salee,3378730208056,,,,['France'],[],[],?,631,50,15,"26,2",,,,,,,,,,,,,,,,,,,,,,,,2640 kj(631 kcal),,"8,64",,"4,22",,"1,33",,"0,532",,,,,,,,,,,,,,,,,
1036,Torcetti,8594169280233,,,,['France'],[],[],?,496,"30,68","48,43","6,73",,,,,,,,,,,,,,,,,,,,,,,,2075 kj(496 kcal),,"17,2",,"22,44",,"1,066",,"0,426",,,,,,,,,,,,,,,,,
1037,Viande bovine,0208214050846,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,LestageChevillon,3760070373158,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Oignon doux,3217450006682,,,,['France'],[],[],?,67,"0,1","12,5","0,7",,,,,,,,,,,,,,,,,,,,,,,,280 kj(67 kcal),,"0,1",,12,,"1,7",,"0,68",,,,,,,,,,,,,,,,,
1040,Pain de mie - Jacquet,3029330070214,['Jacquet'],['Sans sucre ajouté'],,['France'],"['Farine de blé ', '70%', ' eau', 'levure', 'huile de colza', 'gluten de blé', 'sel', 'conservateurs: propionate de calcium', 'acide sorbique', ""émulsifiants: mono - et diglycérides d'acides gras"", 'lécithines', 'épaississant : gomme xanthane', 'farine de fève', 'arôme', 'agent de traitement de la farine : acide ascorbique', ' Présence possible de : lait', 'œufs', ' Contient des sucres naturellement présents']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,667,"3,3",49,"8,9",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,+151%,-26%,+7%,+6%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,3.3 g,en quantité modérée,0.4 g,en faible quantité,5.5 g,en quantité modérée,1.1 g,en quantité modérée,2791 kj(667 kcal),+149%,"0,4",-38%,"5,5",+6%,"1,1",-4%,"0,44",-4%,13,+797%,D,+797%,,,,,4,,"['E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E415 - Gomme xanthane', 'E300 - Acide ascorbique']","['Œufs', 'Gluten']",,,,
1041,Biscuit a la creme d'érable,0771098010461,,,,['France'],[],[],?,?,?,?,?,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Tarama,0208567012805,,,,['France'],[],[],?,567,"58,8","3,5",6,,,,,,,,,,,,,,,,,,,,,,,,2372 kj(567 kcal),,"4,4",,"0,3",,"1,46",,"0,584",,,,,,,,,,,,,,,,,
1043,Compote de pomme - Pouce,3596710057566,"['Pouce', 'Auchan']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",['Auchan'],['France'],[],[],?,64,"0,5","15,2","0,5",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,-2%,+52%,+6%,+33%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,0.5 g,en faible quantité,0.5 g,en faible quantité,15.2 g,en quantité élevée,0.01 g,en faible quantité,268 kj(64 kcal),-2%,"0,5",+475%,"15,2",+17%,"0,01",+18%,"0,004",+18%,-2,,A,,,,,,,,,,,,,
1044,Cochonailles du Haut-Bois,2238525024012,,['Sans colorants'],,['France'],[],[],?,187,13,"0,6",17,,,,,,,,,,,,,,,,,,,,,,,,782 kj(187 kcal),,"5,2",,"0,6",,"1,7",,"0,68",,,,,,,,,,,,,,,,,
1045,Giardiniera,8001770048249,,['Fabriqué en Italie'],,['France'],[],[],?,15,"0,6","1,2","0,5",,,,,,,,,,,,,,,,,,,,,,,,63 kj(15 kcal),,"0,2",,1,,"2,8",,"1,12",,,,,,,,,,,,,,,,,
1046,Sucre de pralines roses - 250g,3760070241112,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1047,L'épicéa,2309636003323,,,,['France'],[],[],?,121,"2,9","1,1","22,4",,,,,,,,,,,,,,,,,,,,,,,,506 kj(121 kcal),,"1,1",,"0,7",,"2,81",,"1,124",,,,,,,,,,,,,,,,,
1048,Natco Plain Pappadums,5013531730730,['Natco'],,,['France'],[],[],?,288,"0,9","49,2","20,7",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pappadums']",,-18%,-87%,+7%,+15%,,,,,,,,,0.9 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,6.1 g,en quantité élevée,1205 kj(288 kcal),-19%,"0,3",-67%,0,-100%,"6,1",+99%,"2,44",+99%,13,+13%,D,+13%,,,,,,,,,,,,
1049,Chorizo de porc,8425824001705,,,,['France'],[],[],?,423,"34,4","1,36","26,3",,,,,,,,,,,,,,,,,,,,,,,,1770 kj(423 kcal),,"14,5",,"1,36",,"4,8",,"1,92",,,,,,,,,,,,,,,,,
1050,Red bean ice bar - Foco - 14oz,0016229923884,['Foco'],['Sans conservateurs'],,['France'],[],[],?,194,"9,7",24,"2,2",,,,,,,,,,,,,,,,,,,,,,,,812 kj(194 kcal),,"7,4",,19,,"0,03",,"0,012",,,,,,14 oz,,,,,,,,,,,
1051,Fruit Rollups - Tropical,0065633492455,,,,['France'],[],[],?,45,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,188 kj(45 kcal),,"0,5",,4,,0,,0,,,,,,,,,,,,,,,,,
1052,Brie pasteurisé - Ets Schoepfer,3252540950728,['Ets Schoepfer'],,,['France'],[],[],?,373,33,2,17,,,,,,,,,,,,,,,"['FR 84.007.011 CE', 'Avignon (Vaucluse, France)']",,,,,,,,,1561 kj(373 kcal),,23,,2,,"1,6",,"0,64",,,,,,,,,,,,,,,,,
1053,Truffes Fantasie,3481291005603,,['Fabriqué en France'],,['France'],[],[],?,591,44,43,"4,2",,,,,,,,,,,,,,,,,,,,,,,,2473 kj(591 kcal),,37,,39,,"0,17",,"0,068",,,,,,,,,,,,,,,,,
1054,Date,6131075000078,,,,['France'],[],[],?,?,?,?,?,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes']",,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Cocktail pomme cassis,1301016092409,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Andouille de guéné,2106530003134,,,,['France'],[],[],?,230,19,"0,5",14,,,,,,,,,,,,,,,,,,,,,,,,962 kj(230 kcal),,11,,"0,5",,"2,1",,"0,84",,,,,,,,,,,,,,,,,
1057,Croissant,0211033017006,,,,['France'],[],[],?,492,27,52,9,,,,,,,,,,,,,,,,,,,,,,,,2059 kj(492 kcal),,18,,"9,1",,"1,2",,"0,48",,,,,,,,,,,,,,,,,
1058,Escalope de dinde - Maître Coq,0215990029126,['Maître Coq'],,,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,100% whey,8717472071118,,,,['France'],[],[],?,390,4,9,79,,,,,,,,,,,,,,,,,,,,,,,,1632 kj(390 kcal),,1,,7,,"0,2",,"0,08",,,,,,,,,,,,,,,,,
1060,Corn Maïs - Lima,06356569,['Lima'],"['Bio', 'Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,385,"0,9",86,"7,9",,,,,,,,,,,,,,,,,,,,,,,,1611 kj(385 kcal),,"0,1",,0,,"0,33",,"0,132",,,,,,,,,,,,,,,,,
1061,Vinaigrette truffe,5714484000122,,,,['France'],[],[],?,511,55,4,0,D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,+41%,+49%,-16%,-100%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,55 g,en quantité élevée,5 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,2138 kj(511 kcal),+43%,5,+33%,4,+22%,0,-100%,0,-100%,10,-33%,C,-33%,,,,,,,,,,,,
1062,aliance foie gras de canard et noisette - euralis gastronomie - 500grammes,3432451096405,['euralis gastronomie'],,['Metro'],['France'],"['Euralis Gastronomie Av', ' Gaston Phoebus 64230 Lescar France ALLIANCE FOIE GRAS DE CANARD ET NOISETTE ET SON GLACAGE AU PORTO SPECIALITE A BASE DE FOIE GRAS DE CANARD ET DE NOISETTE ET SON GLACAGE AU PORTO Ingrédients Fore gras de canard 82%', 'NOISETTES 2,4%', 'sel', 'poivres', 'sucre', ' antioxydant ascorbate de sodium', 'conservateur nitrite de sodium', 'glacage au Porto 14% ', 'Porto 7 % ', 'contient des SULFITES', 'eau', 'jus de truffe  ', 'tuber melanosporum', 'dextrose', 'gélifiants ', 'carraghénanes', 'pectines ', 'E440 et E4400', ' sel', 'sucre Pourcentages à la mise en oeuvre exprimés sur le poids net total Foie gras de canard Origine France']",[],?,493,49,"2,9","6,3",,['Foie gras au noisette'],,,,,,,,,,,,,,49 g,en quantité élevée,22 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,2063 kj(493 kcal),,22,,"1,9",,"1,2",,"0,48",,21,,E,,500 grammes,['barquette sous vide'],['France'],['64230 Lescar'],4,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines']","['Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,
1063,Sweet chilli noodles - 60g,5050665037595,,,,['France'],[],[],?,207,"0,8","41,2","7,4",,,,,,,,,,,,,,,,,,,,,,,,866 kj(207 kcal),,"0,2",,"6,3",,"1,46",,"0,584",,,,,,60 g,,,,,,,,,,,
1064,Fruits Snacks,0025675301061,,,,['France'],[],[],?,70,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,293 kj(70 kcal),,0,,8,,0,,0,,,,,,,,,,,,,,,,,
1065,Trio chou jambon supérieur et comté,2283992019740,,,,['France'],[],[],?,731,16,"2,2","5,2",,"['Plats préparés', 'Salades', 'Salades composées', 'Salades au chou jambon comté']",,+381%,+79%,-78%,-6%,,,,,,,,,16 g,en quantité modérée,3.5 g,en quantité modérée,2.1 g,en faible quantité,1.4 g,en quantité modérée,3059 kj(731 kcal),+384%,"3,5",+159%,"2,1",-7%,"1,4",+59%,"0,56",+59%,18,+1084%,D,+1084%,,,,,,,,,,,,
1066,Pain bio aux céréales complètes,3068111472243,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,352,"6,1","58,6","15,6",,,,,,,,,,,,,,,,,,,,,,,,1473 kj(352 kcal),,"0,5",,"2,6",,"0,783",,"0,313",,,,,,,,,,,,,,,,,
1067,RIB'S MEXICAIN CUIT VPF,2413806046840,,['Point Vert'],,['France'],[],[],?,266,22,0,17,,,,,,,,,,,,,,,"['FR 56.010.001 CE', 'Baud (Morbihan, France)']",,,,,,,,,1113 kj(266 kcal),,9,,0,,2,,"0,8",,,,,,,,,,,,,,,,,
1068,Blonde des Cévennes à la châtaigne - Verfeuille,3527860001741,['Verfeuille'],,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Maki saumon cuit,3760199058653,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Jambon cuit à l os Rhône Alpes 2tr,2390093002301,,,,['France'],[],[],?,311,20,"2,1",17,,,,,,,,,,,,,,,"['FR 01.053.015 CE', 'Bourg-en-Bresse (Ain, France)']",,,,,,,,,1301 kj(311 kcal),,"6,9",,"2,1",,"2,8",,"1,12",,,,,,,,,,,,,,,,,
1071,Arôme Amande Amère,3278581651301,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Boudin Galabart,2610244023161,,,,['France'],[],[],?,285,"23,2","3,9","15,2",,,,,,,,,,,,,,,,,,,,,,,,1192 kj(285 kcal),,8,,"0,2",,"1,9",,"0,76",,,,,,,,,,,,,,,,,
1073,L'hermonie,3380790001461,,,,['France'],[],[],?,382,13,57,"7,9",,,,,,,,,,,,,,,,,,,,,,,,1598 kj(382 kcal),,"8,6",,21,,"0,99",,"0,396",,,,,,,,,,,,,,,,,
1074,Betterave Baie Roses,20023843,,,,['France'],[],[],?,433,28,26,"14,3",,,,,,,,,,,,,,,,,,,,,,,,1812 kj(433 kcal),,3,,"2,8",,1,,"0,4",,,,,,,,,,,,,,,,,
1075,Confiture Kiwi au citron vert - Francis Miot,3396745000083,['Francis Miot'],,,['France'],"['ngerts kiwi 60 %', 'sucre de canne 39 %', 'jus de citron vert concentré 0,3% jus de citron concentré', 'extae hevaile piiant pectine ', 'isue de fruits']",[],?,192,"0,5",45,"0,7",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de kiwi']",,+4%,+19%,-4%,-6%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,0.5 g,en faible quantité,0.1 g,en faible quantité,45 g,en quantité élevée,0.01 g,en faible quantité,803 kj(192 kcal),+4%,"0,1",+96%,45,-0%,"0,01",+68%,"0,004",+68%,10,+13%,C,+13%,,,,,,,,,,,,
1076,Bibeleskaes,19796161,,,,['France'],[],[],?,116,8,"4,6","6,5",,,,,,,,,,,,,,,,,,,,,,,,485 kj(116 kcal),,"5,4",,"4,6",,"0,09",,"0,036",,,,,,,,,,,,,,,,,
1077,Rosé chateau la Vannieres,3302902120051,,,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Infusion myrtille citron - Pomme d'Ambre,2111709001002,"[""Pomme d'Ambre""]",,,['France'],"['Ananas', 'sucre', 'pomme', 'betterave', 'myrtilles', 'écorce de citron', 'jus de citron', 'arômes huile naturelle de citron', 'gélifiant: alginate de sodium']",[],?,9,"0,9","1,5","0,1",A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions aux fruits']",,+200%,+1840%,+77%,-48%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,0.9 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.01 g,en faible quantité,38 kj(9 kcal),+192%,"0,1",+459%,"0,9",+55%,"0,01",+630%,"0,004",+630%,,,,,,['Papier'],,,4,,['E401 - Alginate de sodium'],,,,Infusion,
